@iot.id;resultTime;result;FeatureOfInterest/@iot.id;FeatureOfInterest/name;FeatureOfInterest/feature/coordinates_0;FeatureOfInterest/feature/coordinates_1
4;2024-01-11T10:47:10Z;-3.833;1;Spitzingsee;11.88533;47.659664
12;2024-01-11T10:58:49Z;-2.944;1;Spitzingsee;11.88533;47.659664
17;2024-01-11T10:58:49Z;-2.944;1;Spitzingsee;11.88533;47.659664
28;2024-01-11T10:59:05Z;-3;1;Spitzingsee;11.88533;47.659664
36;2024-01-11T10:59:21Z;-2.944;1;Spitzingsee;11.88533;47.659664
44;2024-01-11T10:59:21Z;-2.944;1;Spitzingsee;11.88533;47.659664
52;2024-01-11T10:59:37Z;-2.944;1;Spitzingsee;11.88533;47.659664
60;2024-01-11T10:59:53Z;-2.944;1;Spitzingsee;11.88533;47.659664
68;2024-01-11T10:59:53Z;-2.944;1;Spitzingsee;11.88533;47.659664
76;2024-01-11T11:00:09Z;-3;1;Spitzingsee;11.88533;47.659664
84;2024-01-11T11:00:25Z;-2.944;1;Spitzingsee;11.88533;47.659664
92;2024-01-11T11:00:26Z;-2.944;1;Spitzingsee;11.88533;47.659664
100;2024-01-11T11:00:41Z;-2.944;1;Spitzingsee;11.88533;47.659664
108;2024-01-11T11:00:57Z;-2.944;1;Spitzingsee;11.88533;47.659664
116;2024-01-11T11:00:58Z;-2.944;1;Spitzingsee;11.88533;47.659664
124;2024-01-11T11:01:13Z;-2.944;1;Spitzingsee;11.88533;47.659664
132;2024-01-11T11:01:29Z;-2.944;1;Spitzingsee;11.88533;47.659664
140;2024-01-11T11:01:30Z;-2.944;1;Spitzingsee;11.88533;47.659664
148;2024-01-11T11:01:45Z;-2.944;1;Spitzingsee;11.88533;47.659664
156;2024-01-11T11:02:01Z;-2.944;1;Spitzingsee;11.88533;47.659664
164;2024-01-11T11:02:02Z;-2.944;1;Spitzingsee;11.88533;47.659664
172;2024-01-11T11:02:17Z;-2.889;1;Spitzingsee;11.88533;47.659664
180;2024-01-11T11:02:33Z;-2.889;1;Spitzingsee;11.88533;47.659664
188;2024-01-11T11:02:34Z;-2.889;1;Spitzingsee;11.88533;47.659664
196;2024-01-11T11:02:49Z;-2.833;1;Spitzingsee;11.88533;47.659664
204;2024-01-11T11:03:05Z;-2.889;1;Spitzingsee;11.88533;47.659664
213;2024-01-11T11:03:06Z;-2.889;1;Spitzingsee;11.88533;47.659664
220;2024-01-11T11:03:21Z;-2.889;1;Spitzingsee;11.88533;47.659664
228;2024-01-11T11:03:37Z;-2.833;1;Spitzingsee;11.88533;47.659664
236;2024-01-11T11:03:37Z;-2.833;1;Spitzingsee;11.88533;47.659664
244;2024-01-11T11:03:53Z;-2.833;1;Spitzingsee;11.88533;47.659664
252;2024-01-11T11:04:09Z;-2.778;1;Spitzingsee;11.88533;47.659664
260;2024-01-11T11:04:10Z;-2.778;1;Spitzingsee;11.88533;47.659664
268;2024-01-11T11:04:25Z;-2.778;1;Spitzingsee;11.88533;47.659664
276;2024-01-11T11:04:41Z;-2.833;1;Spitzingsee;11.88533;47.659664
284;2024-01-11T11:04:41Z;-2.833;1;Spitzingsee;11.88533;47.659664
292;2024-01-11T11:04:57Z;-2.778;1;Spitzingsee;11.88533;47.659664
300;2024-01-11T11:05:13Z;-2.778;1;Spitzingsee;11.88533;47.659664
308;2024-01-11T11:05:13Z;-2.778;1;Spitzingsee;11.88533;47.659664
316;2024-01-11T11:05:29Z;-2.778;1;Spitzingsee;11.88533;47.659664
324;2024-01-11T11:05:45Z;-2.722;1;Spitzingsee;11.88533;47.659664
333;2024-01-11T11:05:45Z;-2.722;1;Spitzingsee;11.88533;47.659664
340;2024-01-11T11:06:01Z;-2.778;1;Spitzingsee;11.88533;47.659664
348;2024-01-11T11:06:17Z;-2.722;1;Spitzingsee;11.88533;47.659664
356;2024-01-11T11:06:17Z;-2.722;1;Spitzingsee;11.88533;47.659664
364;2024-01-11T11:06:33Z;-2.722;1;Spitzingsee;11.88533;47.659664
372;2024-01-11T11:06:49Z;-2.722;1;Spitzingsee;11.88533;47.659664
380;2024-01-11T11:06:49Z;-2.722;1;Spitzingsee;11.88533;47.659664
388;2024-01-11T11:07:21Z;-2.722;1;Spitzingsee;11.88533;47.659664
396;2024-01-11T11:07:21Z;-2.722;1;Spitzingsee;11.88533;47.659664
404;2024-01-11T11:07:37Z;-2.722;1;Spitzingsee;11.88533;47.659664
412;2024-01-11T11:07:53Z;-2.667;1;Spitzingsee;11.88533;47.659664
420;2024-01-11T11:07:53Z;-2.667;1;Spitzingsee;11.88533;47.659664
428;2024-01-11T11:08:09Z;-2.667;1;Spitzingsee;11.88533;47.659664
436;2024-01-11T11:08:25Z;-2.667;1;Spitzingsee;11.88533;47.659664
444;2024-01-11T11:08:25Z;-2.667;1;Spitzingsee;11.88533;47.659664
452;2024-01-11T11:08:41Z;-2.667;1;Spitzingsee;11.88533;47.659664
460;2024-01-11T11:08:57Z;-2.722;1;Spitzingsee;11.88533;47.659664
468;2024-01-11T11:08:57Z;-2.722;1;Spitzingsee;11.88533;47.659664
476;2024-01-11T11:09:13Z;-2.667;1;Spitzingsee;11.88533;47.659664
484;2024-01-11T11:09:29Z;-2.722;1;Spitzingsee;11.88533;47.659664
491;2024-01-11T11:09:29Z;-2.722;1;Spitzingsee;11.88533;47.659664
500;2024-01-11T11:09:45Z;-2.667;1;Spitzingsee;11.88533;47.659664
508;2024-01-11T11:10:01Z;-2.667;1;Spitzingsee;11.88533;47.659664
516;2024-01-11T11:10:01Z;-2.667;1;Spitzingsee;11.88533;47.659664
524;2024-01-11T11:10:17Z;-2.667;1;Spitzingsee;11.88533;47.659664
532;2024-01-11T11:10:33Z;-2.667;1;Spitzingsee;11.88533;47.659664
540;2024-01-11T11:10:33Z;-2.667;1;Spitzingsee;11.88533;47.659664
548;2024-01-11T11:10:49Z;-2.667;1;Spitzingsee;11.88533;47.659664
556;2024-01-11T11:11:05Z;-2.667;1;Spitzingsee;11.88533;47.659664
564;2024-01-11T11:11:05Z;-2.667;1;Spitzingsee;11.88533;47.659664
572;2024-01-11T11:11:21Z;-2.667;1;Spitzingsee;11.88533;47.659664
580;2024-01-11T11:11:37Z;-2.667;1;Spitzingsee;11.88533;47.659664
587;2024-01-11T11:11:37Z;-2.667;1;Spitzingsee;11.88533;47.659664
596;2024-01-11T11:11:53Z;-2.667;1;Spitzingsee;11.88533;47.659664
604;2024-01-11T11:12:09Z;-2.667;1;Spitzingsee;11.88533;47.659664
612;2024-01-11T11:12:09Z;-2.667;1;Spitzingsee;11.88533;47.659664
620;2024-01-11T11:12:25Z;-2.667;1;Spitzingsee;11.88533;47.659664
628;2024-01-11T11:12:41Z;-2.667;1;Spitzingsee;11.88533;47.659664
633;2024-01-11T11:12:41Z;-2.667;1;Spitzingsee;11.88533;47.659664
644;2024-01-11T11:12:57Z;-2.667;1;Spitzingsee;11.88533;47.659664
652;2024-01-11T11:13:13Z;-2.667;1;Spitzingsee;11.88533;47.659664
660;2024-01-11T11:13:13Z;-2.667;1;Spitzingsee;11.88533;47.659664
668;2024-01-11T11:13:29Z;-2.667;1;Spitzingsee;11.88533;47.659664
676;2024-01-11T11:13:46Z;-2.667;1;Spitzingsee;11.88533;47.659664
683;2024-01-11T11:13:46Z;-2.667;1;Spitzingsee;11.88533;47.659664
692;2024-01-11T11:14:01Z;-2.667;1;Spitzingsee;11.88533;47.659664
700;2024-01-11T11:14:17Z;-2.667;1;Spitzingsee;11.88533;47.659664
708;2024-01-11T11:14:18Z;-2.667;1;Spitzingsee;11.88533;47.659664
716;2024-01-11T11:14:33Z;-2.667;1;Spitzingsee;11.88533;47.659664
724;2024-01-11T11:14:49Z;-2.667;1;Spitzingsee;11.88533;47.659664