Day;Reservoir of Darnius Boadella (Darnius)_Absolute_level_Mean;Reservoir of la Llosa del Cavall (Navąs)_Absolute_level_Mean;Reservoir of Siurana (Cornudella de Montsant)_Absolute_level_Mean
2024-12-31T00:00:00.000;136.33;780.81;460.17
2025-01-01T00:00:00.000;136.32;780.79;460.17
2025-01-02T00:00:00.000;136.32;780.78;460.17
2025-01-03T00:00:00.000;136.31;780.76;460.18
2025-01-04T00:00:00.000;136.3;780.75;460.18
2025-01-05T00:00:00.000;136.28;780.73;460.18
2025-01-06T00:00:00.000;136.27;780.71;460.18
2025-01-07T00:00:00.000;136.25;780.69;460.18
2025-01-08T00:00:00.000;136.24;780.67;460.18
2025-01-09T00:00:00.000;136.23;780.65;460.18
2025-01-10T00:00:00.000;136.2;780.63;460.18
2025-01-11T00:00:00.000;136.19;780.61;460.17
2025-01-12T00:00:00.000;136.17;780.58;460.17
2025-01-13T00:00:00.000;136.15;780.56;460.16
2025-01-14T00:00:00.000;136.14;780.54;460.15
2025-01-15T00:00:00.000;136.12;780.51;460.15
2025-01-16T00:00:00.000;136.11;780.47;460.14
2025-01-17T00:00:00.000;136.11;780.43;460.14
2025-01-18T00:00:00.000;136.11;780.41;460.13
2025-01-19T00:00:00.000;136.08;780.38;460.13
2025-01-20T00:00:00.000;136.08;780.36;460.13
2025-01-21T00:00:00.000;136.07;780.33;460.12
2025-01-22T00:00:00.000;136.06;780.31;460.12
2025-01-23T00:00:00.000;136.04;780.28;460.12
2025-01-24T00:00:00.000;136.03;780.24;460.11
2025-01-25T00:00:00.000;136.03;780.2;460.11
2025-01-26T00:00:00.000;136;780.16;460.11
2025-01-27T00:00:00.000;136;780.13;460.11
2025-01-28T00:00:00.000;135.99;780.13;460.1
2025-01-29T00:00:00.000;135.96;780.1;460.09
2025-01-30T00:00:00.000;135.96;780.07;460.09
2025-01-31T00:00:00.000;135.95;780.04;460.09
2025-02-01T00:00:00.000;135.92;779.99;460.08
2025-02-02T00:00:00.000;135.91;779.95;460.08
2025-02-03T00:00:00.000;135.9;779.91;460.07
2025-02-04T00:00:00.000;135.88;779.86;460.07
2025-02-05T00:00:00.000;135.87;779.81;460.05
2025-02-06T00:00:00.000;135.87;779.77;460.04
2025-02-07T00:00:00.000;135.84;779.74;460.04
2025-02-08T00:00:00.000;135.87;779.73;460.03
2025-02-09T00:00:00.000;135.88;779.71;460.03
2025-02-10T00:00:00.000;135.88;779.68;460.03
2025-02-11T00:00:00.000;135.88;779.65;460.02
2025-02-12T00:00:00.000;135.88;779.62;460.02
2025-02-13T00:00:00.000;135.88;779.59;460.02
2025-02-14T00:00:00.000;135.87;779.58;460.02
