phenomenonTime;resultTime;resultIvette;resultJoan
2023-07-26T16:15:15Z;2023-07-26T16:15:15Z;23.74;25.92
2023-07-26T16:15:25Z;2023-07-26T16:15:25Z;23.74;25.92
2023-07-26T16:15:35Z;2023-07-26T16:15:35Z;23.81;25.95
2023-07-26T16:15:45Z;2023-07-26T16:15:45Z;23.8;25.99
2023-07-26T16:15:56Z;2023-07-26T16:15:56Z;23.91;26.06
2023-07-26T16:16:06Z;2023-07-26T16:16:06Z;24.16;26.07
2023-07-26T16:16:16Z;2023-07-26T16:16:16Z;24.12;26.09
2023-07-26T16:16:26Z;2023-07-26T16:16:26Z;24.11;26.13
2023-07-26T16:16:36Z;2023-07-26T16:16:36Z;24.09;26.16
2023-07-26T16:16:47Z;2023-07-26T16:16:47Z;24.12;26.19
2023-07-26T16:16:57Z;2023-07-26T16:16:57Z;24.09;26.21
2023-07-26T16:17:07Z;2023-07-26T16:17:07Z;24.05;26.2
2023-07-26T16:17:17Z;2023-07-26T16:17:17Z;23.97;26.24
2023-07-26T16:17:27Z;2023-07-26T16:17:27Z;23.95;26.23
2023-07-26T16:19:11Z;2023-07-26T16:19:11Z;23.89;26.58
2023-07-26T16:19:21Z;2023-07-26T16:19:21Z;23.87;26.61
2023-07-26T16:19:31Z;2023-07-26T16:19:31Z;23.81;26.65
2023-07-26T16:19:42Z;2023-07-26T16:19:42Z;23.77;26.7
2023-07-26T16:19:52Z;2023-07-26T16:19:52Z;23.81;26.74
2023-07-26T16:20:02Z;2023-07-26T16:20:02Z;23.95;26.75
2023-07-26T16:20:12Z;2023-07-26T16:20:12Z;24.09;26.75
2023-07-26T16:20:23Z;2023-07-26T16:20:23Z;24.19;26.75
2023-07-26T16:20:33Z;2023-07-26T16:20:33Z;24.24;26.75
2023-07-26T16:20:43Z;2023-07-26T16:20:43Z;24.24;26.77
2023-07-26T16:20:53Z;2023-07-26T16:20:53Z;24.24;26.78
2023-07-26T16:21:03Z;2023-07-26T16:21:03Z;24.26;26.87
2023-07-26T16:21:14Z;2023-07-26T16:21:14Z;24.29;26.88
2023-07-26T16:21:24Z;2023-07-26T16:21:24Z;24.26;26.88
2023-07-26T16:21:34Z;2023-07-26T16:21:34Z;24.28;26.98
2023-07-26T16:21:44Z;2023-07-26T16:21:44Z;24.28;26.98
2023-07-26T16:21:55Z;2023-07-26T16:21:55Z;24.32;27.01
2023-07-26T16:22:05Z;2023-07-26T16:22:05Z;24.32;27.02
2023-07-26T16:22:15Z;2023-07-26T16:22:15Z;24.31;27.04
2023-07-26T16:22:25Z;2023-07-26T16:22:25Z;24.31;27.04
2023-07-26T16:22:35Z;2023-07-26T16:22:35Z;24.28;27.05
2023-07-26T16:22:46Z;2023-07-26T16:22:46Z;24.29;27.08
2023-07-26T16:22:56Z;2023-07-26T16:22:56Z;24.29;27.08
2023-07-26T16:23:06Z;2023-07-26T16:23:06Z;24.28;27.11
2023-07-26T16:23:16Z;2023-07-26T16:23:16Z;24.31;27.11
2023-07-26T16:23:27Z;2023-07-26T16:23:27Z;24.4;27.13
2023-07-26T16:23:37Z;2023-07-26T16:23:37Z;24.49;27.16
2023-07-26T16:23:47Z;2023-07-26T16:23:47Z;24.55;27.13
2023-07-26T16:23:57Z;2023-07-26T16:23:57Z;24.52;27.15
2023-07-26T16:24:07Z;2023-07-26T16:24:07Z;24.57;27.12
2023-07-26T16:24:18Z;2023-07-26T16:24:18Z;24.64;27.18
2023-07-26T16:24:28Z;2023-07-26T16:24:28Z;24.69;27.19
2023-07-26T16:24:38Z;2023-07-26T16:24:38Z;24.69;27.2
2023-07-26T16:24:48Z;2023-07-26T16:24:48Z;24.74;27.19
2023-07-26T16:24:59Z;2023-07-26T16:24:59Z;24.8;27.26
2023-07-26T16:25:09Z;2023-07-26T16:25:09Z;24.84;27.29
2023-07-26T16:25:19Z;2023-07-26T16:25:19Z;24.88;27.26
2023-07-26T16:25:29Z;2023-07-26T16:25:29Z;24.91;27.25
2023-07-26T16:25:39Z;2023-07-26T16:25:39Z;24.88;27.28
2023-07-26T16:25:50Z;2023-07-26T16:25:50Z;24.92;27.28
2023-07-26T16:26:00Z;2023-07-26T16:26:00Z;25.01;27.29
2023-07-26T16:26:10Z;2023-07-26T16:26:10Z;25.11;27.32
2023-07-26T16:26:20Z;2023-07-26T16:26:20Z;25.13;27.35
2023-07-26T16:26:31Z;2023-07-26T16:26:31Z;25.14;27.3
2023-07-26T16:26:41Z;2023-07-26T16:26:41Z;25.19;27.3
2023-07-26T16:26:51Z;2023-07-26T16:26:51Z;25.14;27.32
2023-07-26T16:27:01Z;2023-07-26T16:27:01Z;25.19;27.36
2023-07-26T16:27:11Z;2023-07-26T16:27:11Z;25.14;27.35
2023-07-26T16:27:22Z;2023-07-26T16:27:22Z;25.15;27.36
2023-07-26T16:27:32Z;2023-07-26T16:27:32Z;25.17;27.35
2023-07-26T16:27:42Z;2023-07-26T16:27:42Z;25.18;27.33
2023-07-26T16:27:52Z;2023-07-26T16:27:52Z;25.19;27.35
2023-07-26T16:28:03Z;2023-07-26T16:28:03Z;25.22;27.3
2023-07-26T16:28:13Z;2023-07-26T16:28:13Z;25.25;27.32
2023-07-26T16:28:23Z;2023-07-26T16:28:23Z;25.25;27.33
2023-07-26T16:28:33Z;2023-07-26T16:28:33Z;25.26;27.35
2023-07-26T16:28:43Z;2023-07-26T16:28:43Z;25.28;27.39
2023-07-26T16:28:54Z;2023-07-26T16:28:54Z;25.28;27.3
2023-07-26T16:29:04Z;2023-07-26T16:29:04Z;25.28;27.33
2023-07-26T16:29:14Z;2023-07-26T16:29:14Z;25.26;27.3
2023-07-26T16:29:24Z;2023-07-26T16:29:24Z;25.25;27.33
2023-07-26T16:29:35Z;2023-07-26T16:29:35Z;25.25;27.36
2023-07-26T16:29:45Z;2023-07-26T16:29:45Z;25.26;27.39
2023-07-26T16:29:55Z;2023-07-26T16:29:55Z;25.29;27.4
2023-07-26T16:30:05Z;2023-07-26T16:30:05Z;25.33;27.4
2023-07-26T16:30:15Z;2023-07-26T16:30:15Z;25.33;27.4
2023-07-26T16:30:26Z;2023-07-26T16:30:26Z;25.38;27.39
2023-07-26T16:30:36Z;2023-07-26T16:30:36Z;25.35;27.4
2023-07-26T16:30:46Z;2023-07-26T16:30:46Z;25.31;27.39
2023-07-26T16:30:56Z;2023-07-26T16:30:56Z;25.29;27.4
2023-07-26T16:31:07Z;2023-07-26T16:31:07Z;25.39;27.4
2023-07-26T16:31:17Z;2023-07-26T16:31:17Z;25.38;27.45
2023-07-26T16:31:27Z;2023-07-26T16:31:27Z;25.39;27.46
2023-07-26T16:31:37Z;2023-07-26T16:31:37Z;25.36;27.43
2023-07-26T16:31:47Z;2023-07-26T16:31:47Z;20.48;27.45
2023-07-26T16:31:58Z;2023-07-26T16:31:58Z;20.48;27.53
2023-07-26T16:32:08Z;2023-07-26T16:32:08Z;20.48;27.52
2023-07-26T16:32:18Z;2023-07-26T16:32:18Z;20.51;27.5
2023-07-26T16:32:28Z;2023-07-26T16:32:28Z;20.53;27.52
2023-07-26T16:32:38Z;2023-07-26T16:32:38Z;20.55;27.5
2023-07-26T16:32:49Z;2023-07-26T16:32:49Z;20.55;27.5
2023-07-26T16:32:59Z;2023-07-26T16:32:59Z;20.58;27.58
2023-07-26T16:33:09Z;2023-07-26T16:33:09Z;20.6;27.6
2023-07-26T16:33:19Z;2023-07-26T16:33:19Z;20.57;27.63
2023-07-26T16:33:30Z;2023-07-26T16:33:30Z;20.63;27.62
2023-07-26T16:33:40Z;2023-07-26T16:33:40Z;20.65;27.62